Name,Team,Position,Birthday,Salary
Joe Ingles,Utah Jazz,PF,10/2/87,11454546
Jarrett Culver,Minnesota Timberwolves,SG,2/20/99,5813640
Robert Covington,Minnesota Timberwolves,PF,12/14/90,11301219
Damyean Dotson,New York Knicks,SG,5/6/94,1618520
Patrick Beverley,Los Angeles Clippers,PG,7/12/88,12345680
Kevin Love,Cleveland Cavaliers,C,9/7/88,28942830
Quinn Cook,Los Angeles Lakers,PG,3/23/93,3000000
Justin Wright-Foreman,Utah Jazz,G,10/27/97,79568
Noah Vonleh,Minnesota Timberwolves,C,8/24/95,2000000
Tyus Jones,Memphis Grizzlies,PG,5/10/96,9258000
Dewayne Dedmon,Sacramento Kings,C,8/12/89,13333334
Malcolm Brogdon,Indiana Pacers,PG,12/11/92,20000000
Ben McLemore,Houston Rockets,SG,2/11/93,2028594
Wilson Chandler,Brooklyn Nets,PF,5/10/87,2564753
Isaac Bonga,Washington Wizards,PG,11/8/99,1416852
Adam Mokoka,Chicago Bulls,G,7/18/98,79568
Lonzo Ball,New Orleans Pelicans,PG,10/27/97,8719320
Jalen Brunson,Dallas Mavericks,PG,8/31/96,1416852
John Collins,Atlanta Hawks,PF,9/23/97,2686560
Marvin Williams,Charlotte Hornets,PF,6/19/86,15006250
Brad Wanamaker,Boston Celtics,PG,7/25/89,1445697
Donte DiVincenzo,Milwaukee Bucks,SG,1/31/97,2905800
Omari Spellman,Golden State Warriors,PF,7/21/97,1897800
Joe Harris,Brooklyn Nets,SF,9/6/91,7666667
Royce O'Neale,Utah Jazz,PF,6/5/93,1618520
Deandre Ayton,Phoenix Suns,C,7/23/98,9562920
Cory Joseph,Sacramento Kings,PG,8/20/91,12000000
Malcolm Miller,Toronto Raptors,SF,3/6/93,1588231
Justise Winslow,Miami Heat,PF,3/26/96,13000000
Kevin Durant,Brooklyn Nets,PF,9/29/88,37199000
Evan Fournier,Orlando Magic,SF,10/29/92,17000000
Chris Silva,Miami Heat,PF,9/19/96,79568
Vince Carter,Atlanta Hawks,PF,1/26/77,2564753
Cody Zeller,Charlotte Hornets,C,10/5/92,14471910
Brian Bowen,Indiana Pacers,SG,10/2/98,79568
Aaron Holiday,Indiana Pacers,PG,9/30/96,2239200
Troy Daniels,Los Angeles Lakers,SG,7/15/91,2028594
Buddy Hield,Sacramento Kings,SG,12/17/92,4861207
Terance Mann,Los Angeles Clippers,SG,10/18/96,1000000
John Konchar,Memphis Grizzlies,SG,3/22/96,79568
KZ Okpala,Miami Heat,SF,4/28/99,898310
Denzel Valentine,Chicago Bulls,SF,11/16/93,3377568
Marquese Chriss,Golden State Warriors,PF,7/2/97,1678854
Anthony Davis,Los Angeles Lakers,C,3/11/93,27093019
Nemanja Bjelica,Sacramento Kings,PF,5/9/88,6825000
Chandler Parsons,Atlanta Hawks,SF,10/25/88,25102512
Courtney Lee,Dallas Mavericks,SG,10/3/85,12759670
Myles Turner,Indiana Pacers,C,3/24/96,18000000
Kyle O'Quinn,Philadelphia 76ers,C,3/26/90,2174318
Bryn Forbes,San Antonio Spurs,SG,7/23/93,2875000
Duncan Robinson,Miami Heat,PF,4/22/94,1416852
Devin Booker,Phoenix Suns,SG,10/30/96,27285000
Grant Williams,Boston Celtics,PF,11/30/98,2379840
DeMarcus Cousins,Los Angeles Lakers,C,8/13/90,3500000
DeMar DeRozan,San Antonio Spurs,SF,8/7/89,27739975
Kristaps Porzingis,Dallas Mavericks,PF,8/2/95,27285000
Brandon Knight,Cleveland Cavaliers,PG,12/2/91,15643750
Thabo Sefolosha,Houston Rockets,PF,5/2/84,2564753
David Nwaba,Brooklyn Nets,SF,1/14/93,1678854
Quinndary Weatherspoon,San Antonio Spurs,G,9/10/96,79568
Dewan Hernandez,Toronto Raptors,C,12/9/96,898310
Isaiah Thomas,Washington Wizards,PG,2/7/89,2320044
Bruce Brown,Detroit Pistons,SG,8/15/96,1416852
Keldon Johnson,San Antonio Spurs,SF,10/11/99,1950600
Damian Jones,Atlanta Hawks,C,6/30/95,2305057
Luguentz Dort,Oklahoma City Thunder,G,4/19/99,79568
Terence Davis,Toronto Raptors,SG,5/16/97,898310
Chandler Hutchison,Chicago Bulls,SF,4/26/96,2332320
Steven Adams,Oklahoma City Thunder,C,7/20/93,25842697
Jordan Poole,Golden State Warriors,SG,6/19/99,1964760
Sekou Doumbouya,Detroit Pistons,SF,12/23/00,3285120
Zion Williamson,New Orleans Pelicans,F,7/6/00,9757440
Mike Muscala,Oklahoma City Thunder,C,7/1/91,2028594
Skal Labissiere,Portland Trail Blazers,C,3/18/96,2338846
Meyers Leonard,Miami Heat,C,2/27/92,11286515
Reggie Jackson,Detroit Pistons,PG,4/16/90,18086956
Alfonzo McKinnie,Cleveland Cavaliers,SF,9/17/92,1588231
Yuta Watanabe,Memphis Grizzlies,SF,10/13/94,79568
Kentavious Caldwell-Pope,Los Angeles Lakers,SG,2/18/93,8089282
Kelan Martin,Minnesota Timberwolves,SF,8/3/95,79568
OG Anunoby,Toronto Raptors,SF,7/17/97,2281800
Tyler Herro,Miami Heat,SG,1/20/00,3640200
Richaun Holmes,Sacramento Kings,C,10/15/93,4767000
Tyson Chandler,Houston Rockets,C,10/2/82,2564753
Solomon Hill,Memphis Grizzlies,SF,3/18/91,13290395
Keita Bates-Diop,Minnesota Timberwolves,SF,1/23/96,1416852
Kelly Olynyk,Miami Heat,C,4/19/91,12667885
Jaxson Hayes,New Orleans Pelicans,C,5/23/00,4862040
CJ McCollum,Portland Trail Blazers,SG,9/19/91,27556959
Darius Miller,New Orleans Pelicans,SF,3/21/90,7250000
Luka Doncic,Dallas Mavericks,PG,2/28/99,7683360
DeMarre Carroll,San Antonio Spurs,PF,7/27/86,7000000
Cristiano Felicio,Chicago Bulls,C,7/7/92,8156500
Zach LaVine,Chicago Bulls,PG,3/10/95,19500000
Tremont Waters,Boston Celtics,PG,1/10/98,79568
Dejounte Murray,San Antonio Spurs,PG,9/19/96,2321735
Jerome Robinson,Los Angeles Clippers,SG,2/22/97,3567720
Rudy Gay,San Antonio Spurs,PF,8/17/86,14500000
Ryan Broekhoff,Dallas Mavericks,SG,8/23/90,1416852
Jake Layman,Minnesota Timberwolves,PF,3/7/94,3581986
Cameron Johnson,Phoenix Suns,PF,3/3/96,4033440
Allen Crabbe,Atlanta Hawks,SG,4/9/92,18500000
Justin James,Sacramento Kings,SG,1/24/97,898310
Emmanuel Mudiay,Utah Jazz,PG,3/5/96,1737145
Avery Bradley,Los Angeles Lakers,PG,11/26/90,6767000
Victor Oladipo,Indiana Pacers,PG,5/4/92,21000000
Caleb Martin,Charlotte Hornets,SF,9/28/95,898310
Coby White,Chicago Bulls,SG,2/16/00,5307120
Isaiah Hartenstein,Houston Rockets,C,5/5/98,1416852
Will Barton,Denver Nuggets,SF,1/6/91,12776786
Dwayne Bacon,Charlotte Hornets,SG,8/30/95,1618520
Harrison Barnes,Sacramento Kings,PF,5/30/92,24147727
Tim Frazier,Detroit Pistons,PG,11/1/90,1620564
Jimmy Butler,Miami Heat,SF,9/14/89,32742000
Gary Harris,Denver Nuggets,SG,9/14/94,17839286
Thon Maker,Detroit Pistons,C,2/25/97,3569643
Shai Gilgeous-Alexander,Oklahoma City Thunder,PG,7/12/98,3952920
Hassan Whiteside,Portland Trail Blazers,C,6/13/89,27093018
Karl-Anthony Towns,Minnesota Timberwolves,C,11/15/95,27285000
Ky Bowman,Golden State Warriors,PG,6/16/97,79568
Ben Simmons,Philadelphia 76ers,PG,7/20/96,8113929
Terrence Ross,Orlando Magic,SF,2/5/91,12500000
Jordan McLaughlin,Minnesota Timberwolves,PG,4/9/96,79568
Daniel Theis,Boston Celtics,C,4/4/92,5000000
Jonathan Isaac,Orlando Magic,PF,10/3/97,5806440
Cheick Diallo,Phoenix Suns,C,9/13/96,1678854
Serge Ibaka,Toronto Raptors,C,9/18/89,23271604
Amile Jefferson,Orlando Magic,PF,5/7/93,1339515
Cam Reddish,Atlanta Hawks,SF,9/1/99,4245720
De'Anthony Melton,Memphis Grizzlies,PG,5/28/98,1416852
Udonis Haslem,Miami Heat,C,6/9/80,2564753
Charlie Brown,Atlanta Hawks,SG,2/2/97,79568
Elie Okobo,Phoenix Suns,PG,10/23/97,1416852
Gordon Hayward,Boston Celtics,PF,3/23/90,32700690
Marco Belinelli,San Antonio Spurs,SF,3/25/86,5846154
Javonte Green,Boston Celtics,SF,7/23/93,898310
Rondae Hollis-Jefferson,Toronto Raptors,SF,1/3/95,2500000
Carmelo Anthony,Portland Trail Blazers,PF,5/29/84,2159029
Danny Green,Los Angeles Lakers,SG,6/22/87,14634147
Stephen Curry,Golden State Warriors,PG,3/14/88,40231758
Eric Paschall,Golden State Warriors,PF,11/4/96,898310
Daniel Gafford,Chicago Bulls,C,10/1/98,898310
Anfernee Simons,Portland Trail Blazers,SG,6/8/99,2149560
Frank Kaminsky,Phoenix Suns,C,4/4/93,4767000
Luke Kennard,Detroit Pistons,SG,6/24/96,3827160
Josh Okogie,Minnesota Timberwolves,SG,9/1/98,2530680
Rodney Hood,Portland Trail Blazers,SF,10/20/92,5718000
De'Andre Hunter,Atlanta Hawks,SF,12/2/97,7068360
Klay Thompson,Golden State Warriors,SG,2/8/90,32742000
Jrue Holiday,New Orleans Pelicans,PG,6/12/90,26131111
PJ Dozier,Denver Nuggets,PG,10/25/96,79568
Andre Drummond,Detroit Pistons,C,8/10/93,27093018
Jared Harper,Phoenix Suns,PG,9/14/97,79568
Russell Westbrook,Houston Rockets,PG,11/12/88,38506482
Tony Bradley,Utah Jazz,C,1/8/98,1962360
Oshae Brissett,Toronto Raptors,SF,6/20/98,79568
Gary Clark,Houston Rockets,PF,11/16/94,1416852
Pascal Siakam,Toronto Raptors,PF,4/2/94,2351838
Eric Bledsoe,Milwaukee Bucks,PG,12/9/89,15625000
