Name,Team,Position,Birthday,Salary
Donovan Mitchell,Utah Jazz,SG,9/7/96,3635760
Thanasis Antetokounmpo,Milwaukee Bucks,SF,7/18/92,1445697
James Johnson,Miami Heat,PF,2/20/87,15349400
Monte Morris,Denver Nuggets,PG,6/27/95,1588231
Terry Rozier,Charlotte Hornets,PG,3/17/94,19894737
DeAndre Jordan,Brooklyn Nets,C,7/21/88,9881598
Jae Crowder,Memphis Grizzlies,SF,7/6/90,7815533
Josh Gray,New Orleans Pelicans,PG,9/9/93,79568
Goga Bitadze,Indiana Pacers,C,7/20/99,2816760
Kobi Simmons,Charlotte Hornets,PG,7/4/97,79568
Derrick Favors,New Orleans Pelicans,C,7/15/91,17650000
Landry Shamet,Los Angeles Clippers,SG,3/13/97,1995120
Jalen McDaniels,Charlotte Hornets,PF,1/31/98,898310
Bruno Caboclo,Memphis Grizzlies,SF,9/21/95,1845301
Drew Eubanks,San Antonio Spurs,PF,2/1/97,79568
Raul Neto,Philadelphia 76ers,PG,5/19/92,1737145
Jalen Lecque,Phoenix Suns,G,6/13/00,898310
Giannis Antetokounmpo,Milwaukee Bucks,PF,12/6/94,25842697
Malik Monk,Charlotte Hornets,SG,2/4/98,4028400
Tacko Fall,Boston Celtics,C,12/10/95,79568
Justin Jackson,Dallas Mavericks,PF,3/28/95,3280920
Paul George,Los Angeles Clippers,SF,5/2/90,33005556
Jayson Tatum,Boston Celtics,PF,3/3/98,7830000
Admiral Schofield,Washington Wizards,SF,3/30/97,1000000
Louis King,Detroit Pistons,F,4/6/99,79568
Kostas Antetokounmpo,Los Angeles Lakers,PF,11/20/97,79568
Rodions Kurucs,Brooklyn Nets,PF,2/5/98,1699236
Spencer Dinwiddie,Brooklyn Nets,PG,4/6/93,10605600
Doug McDermott,Indiana Pacers,PF,1/3/92,7333333
Romeo Langford,Boston Celtics,SG,10/25/99,3458400
Caris LeVert,Brooklyn Nets,SF,8/25/94,2625717
Michael Kidd-Gilchrist,Charlotte Hornets,PF,9/26/93,13000000
LeBron James,Los Angeles Lakers,PF,12/30/84,37436858
Taj Gibson,New York Knicks,C,6/24/85,9000000
Ty Jerome,Phoenix Suns,G,7/8/97,2193480
Chris Clemons,Houston Rockets,SG,7/23/97,79568
Luke Kornet,Chicago Bulls,C,7/15/95,2250000
Trey Lyles,San Antonio Spurs,PF,11/5/95,5500000
Sterling Brown,Milwaukee Bucks,SF,2/10/95,1618520
Andre Iguodala,Memphis Grizzlies,SF,1/28/84,17185185
Vincent Poirier,Boston Celtics,C,10/17/93,2505793
Frank Ntilikina,New York Knicks,PG,7/28/98,4855800
Jordan McRae,Washington Wizards,PG,3/28/91,1645357
Enes Kanter,Boston Celtics,C,5/20/92,4767000
John Henson,Cleveland Cavaliers,C,12/28/90,9732396
Jaylen Brown,Boston Celtics,SF,10/24/96,6534829
Jonah Bolden,Philadelphia 76ers,PF,1/2/96,1698450
Chimezie Metu,San Antonio Spurs,PF,3/22/97,1416852
Tobias Harris,Philadelphia 76ers,PF,7/15/92,32742000
Semi Ojeleye,Boston Celtics,PF,12/5/94,1618520
Jevon Carter,Phoenix Suns,PG,9/14/95,1416852
Brandon Ingram,New Orleans Pelicans,PF,9/2/97,7265485
Moritz Wagner,Washington Wizards,C,4/26/97,2063520
Dorian Finney-Smith,Dallas Mavericks,PF,5/4/93,4000000
Danuel House,Houston Rockets,SF,6/7/93,3540000
Nicolo Melli,New Orleans Pelicans,C,1/26/91,4102564
Talen Horton-Tucker,Los Angeles Lakers,GF,11/25/00,898310
Ed Davis,Utah Jazz,C,6/5/89,4767000
Kyle Guy,Sacramento Kings,G,8/11/97,79568
Kadeem Allen,New York Knicks,PG,1/15/93,79568
Dante Exum,Utah Jazz,PG,7/13/95,9600000
Abdel Nader,Oklahoma City Thunder,SF,9/25/93,1618520
Bruno Fernando,Atlanta Hawks,C,8/15/98,1400000
Dion Waiters,Miami Heat,SG,12/10/91,12100000
Jared Dudley,Los Angeles Lakers,PF,7/10/85,2564753
Max Strus,Chicago Bulls,SG,3/28/96,79568
Kevon Looney,Golden State Warriors,C,2/6/96,4464286
Willy Hernangomez,Charlotte Hornets,C,5/27/94,1557250
Melvin Frazier,Orlando Magic,SG,8/30/96,1416852
Austin Rivers,Houston Rockets,PG,8/1/92,2174310
Harry Giles,Sacramento Kings,PF,4/22/98,2578800
Robin Lopez,Milwaukee Bucks,C,4/1/88,4767000
Collin Sexton,Cleveland Cavaliers,PG,1/4/99,4764960
Ricky Rubio,Phoenix Suns,PG,10/21/90,16200000
